item,context,determiner,sentence
1,sub,algunos,Tres de cuatro tramos tienen tráfico denso. Algunos tramos tienen tráfico denso.
1,whole,algunos,Cuatro de cuatro tramos tienen tráfico denso. Algunos tramos tienen tráfico denso.
1,whole,unos,Cuatro de cuatro tramos tienen tráfico denso. Unos tramos tienen tráfico denso.
2,sub,algunos,Tres de cuatro regidores opinan que nada pasará. Algunos regidores opinan que nada pasará.
2,whole,algunos,Cuatro de cuatro regidores opinan que nada pasará. Algunos regidores opinan que nada pasará.
2,whole,unos,Cuatro de cuatro regidores opinan que nada pasará. Unos regidores opinan que nada pasará.
3,sub,algunos,Tres de cuatro precedentes no ayudan. Algunos precedentes no ayudan.
3,whole,algunos,Cuatro de cuatro precedentes no ayudan. Algunos precedentes no ayudan.
3,whole,unos,Cuatro de cuatro precedentes no ayudan. Unos precedentes no ayudan.
4,sub,algunos,Tres de cuatro periódicos acusaron al gobierno de “matarla”. Algunos periódicos acusaron al gobierno de “matarla”.
4,whole,algunos,Cuatro de cuatro periódicos acusaron al gobierno de “matarla”. Algunos periódicos acusaron al gobierno de “matarla”.
4,whole,unos,Cuatro de cuatro periódicos acusaron al gobierno de “matarla”. Unos periódicos acusaron al gobierno de “matarla”.
5,sub,algunos,Tres de cuatro pasajeros han sido evacuados por precaución. Algunos pasajeros han sido evacuados por precaución.
5,whole,algunos,Cuatro de cuatro pasajeros han sido evacuados por precaución. Algunos pasajeros han sido evacuados por precaución.
5,whole,unos,Cuatro de cuatro pasajeros han sido evacuados por precaución. Unos pasajeros han sido evacuados por precaución.
6,sub,algunos,Tres de cuatro partidos políticos lo citaron. Algunos partidos políticos lo citaron.
6,whole,algunos,Cuatro de cuatro partidos políticos lo citaron. Algunos partidos políticos lo citaron.
6,whole,unos,Cuatro de cuatro partidos políticos lo citaron. Unos partidos políticos lo citaron.
7,sub,algunos,Tres de cuatro hombres nacen póstumos. Algunos hombres nacen póstumos.
7,whole,algunos,Cuatro de cuatro hombres nacen póstumos. Algunos hombres nacen póstumos.
