item,context,determiner,sentence
1,sub,algunos,No todos los tramos tienen tráfico denso. Algunos tramos tienen tráfico denso.
1,whole,algunos,Todos los tramos tienen tráfico denso. Algunos tramos tienen tráfico denso.
1,whole,unos,Todos los tramos tienen tráfico denso. Unos tramos tienen tráfico denso.
2,sub,algunos,No todos los regidores opinan que nada pasará. Algunos regidores opinan que nada pasará.
2,whole,algunos,Todos los regidores opinan que nada pasará. Algunos regidores opinan que nada pasará.
2,whole,unos,Todos los regidores opinan que nada pasará. Unos regidores opinan que nada pasará.
3,sub,algunos,No todos los precedentes no ayudan. Algunos precedentes no ayudan.
3,whole,algunos,Todos los precedentes no ayudan. Algunos precedentes no ayudan.
3,whole,unos,Todos los precedentes no ayudan. Unos precedentes no ayudan.
4,sub,algunos,No todos los periódicos acusaron al gobierno de “matarla”. Algunos periódicos acusaron al gobierno de “matarla”.
4,whole,algunos,Todos los periódicos acusaron al gobierno de “matarla”. Algunos periódicos acusaron al gobierno de “matarla”.
4,whole,unos,Todos los periódicos acusaron al gobierno de “matarla”. Unos periódicos acusaron al gobierno de “matarla”.
5,sub,algunos,No todos los pasajeros han sido evacuados por precaución. Algunos pasajeros han sido evacuados por precaución.
5,whole,algunos,Todos los pasajeros han sido evacuados por precaución. Algunos pasajeros han sido evacuados por precaución.
5,whole,unos,Todos los pasajeros han sido evacuados por precaución. Unos pasajeros han sido evacuados por precaución.
6,sub,algunos,No todos los partidos políticos lo citaron. Algunos partidos políticos lo citaron.
6,whole,algunos,Todos los partidos políticos lo citaron. Algunos partidos políticos lo citaron.
6,whole,unos,Todos los partidos políticos lo citaron. Unos partidos políticos lo citaron.
7,sub,algunos,No todos los hombres nacen póstumos. Algunos hombres nacen póstumos.
7,whole,algunos,Todos los hombres nacen póstumos. Algunos hombres nacen póstumos.
7,whole,unos,Todos los hombres nacen póstumos. Unos hombres nacen póstumos.
8,sub,algunos,No todos los gremios no quieren dialogar. Algunos gremios no quieren dialogar.
8,whole,algunos,Todos los gremios no quieren dialogar. Algunos gremios no quieren dialogar.
8,whole,unos,Todos los gremios no quieren dialogar. Unos gremios no quieren dialogar.
9,sub,algunos,No todos los ejemplos exponen el cuadro. Algunos ejemplos exponen el cuadro.
9,whole,algunos,Todos los ejemplos exponen el cuadro. Algunos ejemplos exponen el cuadro.
9,whole,unos,Todos los ejemplos exponen el cuadro. Unos ejemplos exponen el cuadro.
10,sub,algunos,No todos los dispositivos brillan en la oscuridad. Algunos dispositivos brillan en la oscuridad.
10,whole,algunos,Todos los dispositivos brillan en la oscuridad. Algunos dispositivos brillan en la oscuridad.
10,whole,unos,Todos los dispositivos brillan en la oscuridad. Unos dispositivos brillan en la oscuridad.
11,sub,algunos,No todos los diplomáticos occidentales participaron. Algunos diplomáticos occidentales participaron.
11,whole,algunos,Todos los diplomáticos occidentales participaron. Algunos diplomáticos occidentales participaron.
11,whole,unos,Todos los diplomáticos occidentales participaron. Unos diplomáticos occidentales participaron.
12,sub,algunos,No todos los ciudadanos suben a mirar más alto. Algunos ciudadanos suben a mirar más alto.
12,whole,algunos,Todos los ciudadanos suben a mirar más alto. Algunos ciudadanos suben a mirar más alto.
12,whole,unos,Todos los ciudadanos suben a mirar más alto. Unos ciudadanos suben a mirar más alto.
13,sub,algunos,No todos los chicos terminaron lastimados. Algunos chicos terminaron lastimados.
13,whole,algunos,Todos los chicos terminaron lastimados. Algunos chicos terminaron lastimados.
13,whole,unos,Todos los chicos terminaron lastimados. Unos chicos terminaron lastimados.
14,sub,algunos,No todos los campamentos prometen disciplina militar. Algunos campamentos prometen disciplina militar.
14,whole,algunos,Todos los campamentos prometen disciplina militar. Algunos campamentos prometen disciplina militar.
14,whole,unos,Todos los campamentos prometen disciplina militar. Unos campamentos prometen disciplina militar.
15,sub,algunos,No todos los agentes de policía resultaron lesionados. Algunos agentes de policía resultaron lesionados.
15,whole,algunos,Todos los agentes de policía resultaron lesionados. Algunos agentes de policía resultaron lesionados.
15,whole,unos,Todos los agentes de policía resultaron lesionados. Unos agentes de policía resultaron lesionados.
16,sub,algunos,No todos los dirigentes sindicales quieren vivir en el anarquismo. Algunos dirigentes sindicales quieren vivir en el anarquismo.
16,whole,algunos,Todos los dirigentes sindicales quieren vivir en el anarquismo. Algunos dirigentes sindicales quieren vivir en el anarquismo.
16,whole,unos,Todos los dirigentes sindicales quieren vivir en el anarquismo. Unos dirigentes sindicales quieren vivir en el anarquismo.
17,sub,algunos,No todos los sectores del instituto fueron remodelados. Algunos sectores del instituto fueron remodelados.
17,whole,algunos,Todos los sectores del instituto fueron remodelados. Algunos sectores del instituto fueron remodelados.
17,whole,unos,Todos los sectores del instituto fueron remodelados. Unos sectores del instituto fueron remodelados.
18,sub,algunos,No todos los políticos dijeron que todos estaban comprados. Algunos políticos dijeron que todos estaban comprados.
18,whole,algunos,Todos los políticos dijeron que todos estaban comprados. Algunos políticos dijeron que todos estaban comprados.
18,whole,unos,Todos los políticos dijeron que todos estaban comprados. Unos políticos dijeron que todos estaban comprados.
19,sub,algunos,No todos los legisladores han adoptado una postura similar. Algunos legisladores han adoptado una postura similar.
19,whole,algunos,Todos los legisladores han adoptado una postura similar. Algunos legisladores han adoptado una postura similar.
19,whole,unos,Todos los legisladores han adoptado una postura similar. Unos legisladores han adoptado una postura similar.
20,sub,algunos,No todos los ex jugadores británicos criticaron a Marcelo. Algunos ex jugadores británicos criticaron a Marcelo.
20,whole,algunos,Todos los ex jugadores británicos criticaron a Marcelo. Algunos ex jugadores británicos criticaron a Marcelo.
20,whole,unos,Todos los ex jugadores británicos criticaron a Marcelo. Unos ex jugadores británicos criticaron a Marcelo.
21,sub,algunos,No todos los establecimientos ofrecen financiar las compras. Algunos establecimientos ofrecen financiar las compras.
21,whole,algunos,Todos los establecimientos ofrecen financiar las compras. Algunos establecimientos ofrecen financiar las compras.
21,whole,unos,Todos los establecimientos ofrecen financiar las compras. Unos establecimientos ofrecen financiar las compras.
22,sub,algunos,No todos los concejales prefieren seguir tal como están. Algunos concejales prefieren seguir tal como están.
22,whole,algunos,Todos los concejales prefieren seguir tal como están. Algunos concejales prefieren seguir tal como están.
22,whole,unos,Todos los concejales prefieren seguir tal como están. Unos concejales prefieren seguir tal como están.
23,sub,algunos,No todos los aviones tienen una tecnología prácticamente olímpica Algunos aviones tienen una tecnología prácticamente olímpica
23,whole,algunos,Todos los aviones tienen una tecnología prácticamente olímpica Algunos aviones tienen una tecnología prácticamente olímpica
23,whole,unos,Todos los aviones tienen una tecnología prácticamente olímpica Unos aviones tienen una tecnología prácticamente olímpica
