item,context,determiner,premise,hypothesis
1,sub,algunos,Algunos tramos tienen tráfico denso.,Tres de cuatro tramos tienen tráfico denso.
1,sub,unos,Unos tramos tienen tráfico denso.,Tres de cuatro tramos tienen tráfico denso.
1,whole,algunos,Algunos tramos tienen tráfico denso.,Cuatro de cuatro tramos tienen tráfico denso.
1,whole,unos,Unos tramos tienen tráfico denso.,Cuatro de cuatro tramos tienen tráfico denso.
2,sub,algunos,Algunos regidores opinan que nada pasará.,Tres de cuatro regidores opinan que nada pasará.
2,sub,unos,Unos regidores opinan que nada pasará.,Tres de cuatro regidores opinan que nada pasará.
2,whole,algunos,Algunos regidores opinan que nada pasará.,Cuatro de cuatro regidores opinan que nada pasará.
2,whole,unos,Unos regidores opinan que nada pasará.,Cuatro de cuatro regidores opinan que nada pasará.
3,sub,algunos,Algunos precedentes no ayudan.,Tres de cuatro precedentes no ayudan.
3,sub,unos,Unos precedentes no ayudan.,Tres de cuatro precedentes no ayudan.
3,whole,algunos,Algunos precedentes no ayudan.,Cuatro de cuatro precedentes no ayudan.
3,whole,unos,Unos precedentes no ayudan.,Cuatro de cuatro precedentes no ayudan.
4,sub,algunos,Algunos periódicos acusaron al gobierno de “matarla”.,Tres de cuatro periódicos acusaron al gobierno de “matarla”.
4,sub,unos,Unos periódicos acusaron al gobierno de “matarla”.,Tres de cuatro periódicos acusaron al gobierno de “matarla”.
4,whole,algunos,Algunos periódicos acusaron al gobierno de “matarla”.,Cuatro de cuatro periódicos acusaron al gobierno de “matarla”.
4,whole,unos,Unos periódicos acusaron al gobierno de “matarla”.,Cuatro de cuatro periódicos acusaron al gobierno de “matarla”.
5,sub,algunos,Algunos pasajeros han sido evacuados por precaución.,Tres de cuatro pasajeros han sido evacuados por precaución.
5,sub,unos,Unos pasajeros han sido evacuados por precaución.,Tres de cuatro pasajeros han sido evacuados por precaución.
5,whole,algunos,Algunos pasajeros han sido evacuados por precaución.,Cuatro de cuatro pasajeros han sido evacuados por precaución.
5,whole,unos,Unos pasajeros han sido evacuados por precaución.,Cuatro de cuatro pasajeros han sido evacuados por precaución.
6,sub,algunos,Algunos partidos políticos lo citaron.,Tres de cuatro partidos políticos lo citaron.
6,sub,unos,Unos partidos políticos lo citaron.,Tres de cuatro partidos políticos lo citaron.
6,whole,algunos,Algunos partidos políticos lo citaron.,Cuatro de cuatro partidos políticos lo citaron.
6,whole,unos,Unos partidos políticos lo citaron.,Cuatro de cuatro partidos políticos lo citaron.
7,sub,algunos,Algunos hombres nacen póstumos.,Tres de cuatro hombres nacen póstumos.
7,sub,unos,Unos hombres nacen póstumos.,Tres de cuatro hombres nacen póstumos.
7,whole,algunos,Algunos hombres nacen póstumos.,Cuatro de cuatro hombres nacen póstumos.
7,whole,unos,Unos hombres nacen póstumos.,Cuatro de cuatro hombres nacen póstumos.
8,sub,algunos,Algunos gremios no quieren dialogar.,Tres de cuatro gremios no quieren dialogar.
8,sub,unos,Unos gremios no quieren dialogar.,Tres de cuatro gremios no quieren dialogar.
8,whole,algunos,Algunos gremios no quieren dialogar.,Cuatro de cuatro gremios no quieren dialogar.
