item,context,determiner,premise,hypothesis
1,sub,algunos,Algunos tramos tienen tráfico denso.,No todos los tramos tienen tráfico denso.
1,sub,unos,Unos tramos tienen tráfico denso.,No todos los tramos tienen tráfico denso.
1,whole,algunos,Algunos tramos tienen tráfico denso.,Todos los tramos tienen tráfico denso.
1,whole,unos,Unos tramos tienen tráfico denso.,Todos los tramos tienen tráfico denso.
2,sub,algunos,Algunos regidores opinan que nada pasará.,No todos los regidores opinan que nada pasará.
2,sub,unos,Unos regidores opinan que nada pasará.,No todos los regidores opinan que nada pasará.
2,whole,algunos,Algunos regidores opinan que nada pasará.,Todos los regidores opinan que nada pasará.
2,whole,unos,Unos regidores opinan que nada pasará.,Todos los regidores opinan que nada pasará.
3,sub,algunos,Algunos precedentes no ayudan.,No todos los precedentes no ayudan.
3,sub,unos,Unos precedentes no ayudan.,No todos los precedentes no ayudan.
3,whole,algunos,Algunos precedentes no ayudan.,Todos los precedentes no ayudan.
3,whole,unos,Unos precedentes no ayudan.,Todos los precedentes no ayudan.
4,sub,algunos,Algunos periódicos acusaron al gobierno de “matarla”.,No todos los periódicos acusaron al gobierno de “matarla”.
4,sub,unos,Unos periódicos acusaron al gobierno de “matarla”.,No todos los periódicos acusaron al gobierno de “matarla”.
4,whole,algunos,Algunos periódicos acusaron al gobierno de “matarla”.,Todos los periódicos acusaron al gobierno de “matarla”.
4,whole,unos,Unos periódicos acusaron al gobierno de “matarla”.,Todos los periódicos acusaron al gobierno de “matarla”.
5,sub,algunos,Algunos pasajeros han sido evacuados por precaución.,No todos los pasajeros han sido evacuados por precaución.
5,sub,unos,Unos pasajeros han sido evacuados por precaución.,No todos los pasajeros han sido evacuados por precaución.
5,whole,algunos,Algunos pasajeros han sido evacuados por precaución.,Todos los pasajeros han sido evacuados por precaución.
5,whole,unos,Unos pasajeros han sido evacuados por precaución.,Todos los pasajeros han sido evacuados por precaución.
6,sub,algunos,Algunos partidos políticos lo citaron.,No todos los partidos políticos lo citaron.
6,sub,unos,Unos partidos políticos lo citaron.,No todos los partidos políticos lo citaron.
6,whole,algunos,Algunos partidos políticos lo citaron.,Todos los partidos políticos lo citaron.
6,whole,unos,Unos partidos políticos lo citaron.,Todos los partidos políticos lo citaron.
7,sub,algunos,Algunos hombres nacen póstumos.,No todos los hombres nacen póstumos.
7,sub,unos,Unos hombres nacen póstumos.,No todos los hombres nacen póstumos.
7,whole,algunos,Algunos hombres nacen póstumos.,Todos los hombres nacen póstumos.
7,whole,unos,Unos hombres nacen póstumos.,Todos los hombres nacen póstumos.
